"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"32","0.078521","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"73","0.180494","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"87","0.232639","Commscope_23:24:6c","VantivaUSA_34:38:0a","802.11","387","-27 dBm","6"
"88","0.232644","Commscope_23:24:6c","VantivaUSA_34:38:0a","802.11","387","-28 dBm","6"
"113","0.285729","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"153","0.385121","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"197","0.437726","Commscope_23:24:6c","VantivaUSA_d0:97:64","802.11","387","-29 dBm","6"
"215","0.487363","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"248","0.589700","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"291","0.692109","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"440","1.000739","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"483","1.100944","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"541","1.207561","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"592","1.306046","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"656","1.410939","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"719","1.513227","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"761","1.616079","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"818","1.720423","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"937","1.818529","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1082","1.921927","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1215","2.025817","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1409","2.228414","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"1535","2.331291","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1614","2.435465","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1671","2.539012","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"1727","2.637160","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"1804","2.740236","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"1878","2.842658","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1932","2.946816","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"1971","3.027729","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm","6"
"1972","3.027733","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm","6"
"1973","3.028911","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"1974","3.030744","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-28 dBm","6"
"1982","3.047081","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"2012","3.127039","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm","6"
"2013","3.127041","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm","6"
"2015","3.127143","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm","6"
"2016","3.127145","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm","6"
"2033","3.150401","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"2070","3.255965","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"2103","3.353386","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm","6.5"
"2149","3.460065","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm","6.5"
"2196","3.558817","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"2279","3.664150","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"2347","3.764225","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"2406","3.865706","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"2436","3.969040","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"2529","4.173920","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
