"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"20","0.055334","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"44","0.157888","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"45","0.159669","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","0 dBm"
"47","0.159673","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","0 dBm"
"48","0.159675","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","0 dBm"
"81","0.258154","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"101","0.364380","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"154","0.579126","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"177","0.671349","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"200","0.772274","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"244","0.876026","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"268","0.976132","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"295","1.081918","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"324","1.184775","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"347","1.285471","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"370","1.390359","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"398","1.488914","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"410","1.542043","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"411","1.543215","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-23 dBm"
"412","1.543219","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"413","1.544508","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"445","1.694891","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"463","1.802122","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"490","1.899776","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"540","2.103162","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"560","2.206912","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"611","2.408934","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"627","2.518616","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"688","2.717709","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
