"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"9","0.010403","Commscope_23:24:6c","de:1a:0f:7b:fb:bd","802.11","387","-22 dBm"
"63","0.092585","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"92","0.193174","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"134","0.295077","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"172","0.404160","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"210","0.516288","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"241","0.608947","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"270","0.712337","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"315","0.809347","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"400","0.914777","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"473","1.017281","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"543","1.115517","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"635","1.219700","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"701","1.312393","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-22 dBm"
"702","1.313570","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"703","1.315066","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-21 dBm"
"704","1.315070","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-23 dBm"
"706","1.320714","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"734","1.424480","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"780","1.527327","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"835","1.631668","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"861","1.735141","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"895","1.833382","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"934","1.934630","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"976","2.041890","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1017","2.144110","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"1056","2.249057","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1104","2.348432","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"1151","2.451965","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"1196","2.556126","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1235","2.650676","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1282","2.759291","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1304","2.822532","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-21 dBm"
"1305","2.824018","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-21 dBm"
"1306","2.824022","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-22 dBm"
"1319","2.855560","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"1355","2.960480","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1386","3.058513","Commscope_23:24:6c","1e:da:5d:b7:96:98","802.11","387","-22 dBm"
"1392","3.061619","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1401","3.078425","Commscope_23:24:6c","1e:da:5d:b7:96:98","802.11","387","-21 dBm"
"1438","3.162803","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1476","3.265684","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1493","3.329977","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"1494","3.331084","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-21 dBm"
"1495","3.332606","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"1496","3.332609","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-21 dBm"
"1511","3.345324","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"1513","3.345479","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-21 dBm"
"1514","3.346673","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-21 dBm"
"1515","3.346675","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"1523","3.373645","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1549","3.476790","Commscope_23:24:6c","Broadcast","802.11","287","-20 dBm"
"1587","3.577553","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"1623","3.685009","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1690","3.881614","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"1726","3.984752","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"1752","4.039896","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-22 dBm"
"1753","4.039901","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-21 dBm"
"1754","4.041125","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-21 dBm"
"1756","4.042572","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-21 dBm"
"1766","4.068203","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-22 dBm"
"1767","4.068207","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-21 dBm"
"1768","4.069535","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-21 dBm"
"1769","4.069538","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-21 dBm"
"1776","4.086904","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
