"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"30","0.088016","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-27 dBm","6"
"32","0.089703","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"33","0.089705","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm","6"
"34","0.090485","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm","6"
"35","0.090951","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-27 dBm","6"
"52","0.100692","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-27 dBm","6"
"53","0.100698","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm","6"
"54","0.101852","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm","6"
"55","0.101856","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-26 dBm","6"
"102","0.192013","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"144","0.294540","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"182","0.395837","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"217","0.498050","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"248","0.601803","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"322","0.805499","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"363","0.908873","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"431","1.010208","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"471","1.112737","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"511","1.217113","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"537","1.321650","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
"576","1.424168","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"618","1.523159","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"659","1.626879","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"703","1.729849","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"733","1.839960","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"774","1.934689","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"828","2.037618","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"888","2.138966","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"908","2.179069","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-32 dBm","6"
"942","2.243694","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"997","2.343497","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"1031","2.432019","Commscope_23:24:6c","4e:82:6c:c0:a6:1e","802.11","387","-27 dBm","6"
"1032","2.432025","Commscope_23:24:6c","4e:82:6c:c0:a6:1e","802.11","387","-28 dBm","6"
"1035","2.446739","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1080","2.546328","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1123","2.649619","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1151","2.752555","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1185","2.862193","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1216","2.957445","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1265","3.061198","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1358","3.264768","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1420","3.365590","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1464","3.469377","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1504","3.571755","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1554","3.673442","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"1595","3.776080","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"1667","3.981750","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"2067","5.007314","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
"2114","5.107633","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"2127","5.134563","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2128","5.134567","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2129","5.134570","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2130","5.135750","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-27 dBm","6"
"2158","5.194240","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2159","5.194245","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2160","5.194248","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2161","5.196729","Commscope_23:24:6c","06:c1:a6:c8:71:7a","802.11","387","-26 dBm","6"
"2181","5.210453","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"2236","5.313533","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"2246","5.319933","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-28 dBm","6"
"2247","5.321246","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-28 dBm","6"
"2248","5.321249","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-27 dBm","6"
"2249","5.322570","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-27 dBm","6"
"2307","5.414469","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm","6.5"
"2356","5.517485","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"2393","5.622221","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"2440","5.723591","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm","6.5"
"2481","5.825253","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"2558","6.029491","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"2570","6.051679","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-31 dBm","6"
"2572","6.061004","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-30 dBm","6"
"2573","6.063922","Commscope_23:24:6c","VantivaUSA_80:25:f0","802.11","387","-30 dBm","6"
"2594","6.133157","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm","6.5"
