"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"18","0.031772","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"22","0.044143","Commscope_23:24:6c","VantivaUSA_27:b0:50","802.11","387","-25 dBm"
"24","0.047793","Commscope_23:24:6c","VantivaUSA_27:b0:50","802.11","387","-25 dBm"
"25","0.050235","Commscope_23:24:6c","VantivaUSA_27:b0:50","802.11","387","-24 dBm"
"26","0.050523","Commscope_23:24:6c","VantivaUSA_27:b0:50","802.11","387","-24 dBm"
"94","0.238231","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"95","0.238235","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-26 dBm"
"96","0.242102","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-29 dBm"
"97","0.242112","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-26 dBm"
"98","0.244592","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-29 dBm"
"139","0.354592","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"166","0.445940","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"203","0.546790","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"254","0.646472","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm"
"291","0.748357","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"293","0.758583","Commscope_23:24:6c","72:f6:03:72:df:dc","802.11","387","-22 dBm"
"295","0.758592","Commscope_23:24:6c","72:f6:03:72:df:dc","802.11","387","-22 dBm"
"296","0.758597","Commscope_23:24:6c","72:f6:03:72:df:dc","802.11","387","-22 dBm"
"299","0.758607","Commscope_23:24:6c","72:f6:03:72:df:dc","802.11","387","-21 dBm"
"339","0.850681","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"367","0.955063","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"392","1.055536","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"436","1.161671","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"467","1.265262","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"512","1.368708","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"542","1.442593","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-25 dBm"
"544","1.442608","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-25 dBm"
"545","1.442907","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"546","1.446432","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-22 dBm"
"570","1.470051","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"639","1.691228","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"667","1.776939","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"697","1.877388","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"741","1.981603","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"772","2.082267","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"800","2.168805","Commscope_23:24:6c","a2:00:cf:b6:11:1f","802.11","387","-24 dBm"
"801","2.168894","Commscope_23:24:6c","a2:00:cf:b6:11:1f","802.11","387","-23 dBm"
"802","2.169522","Commscope_23:24:6c","a2:00:cf:b6:11:1f","802.11","387","-23 dBm"
"805","2.178056","Commscope_23:24:6c","a2:00:cf:b6:11:1f","802.11","387","-22 dBm"
"809","2.184680","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"854","2.284198","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"889","2.390775","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"927","2.492553","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"968","2.592663","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
