"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"7","0.039379","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1251, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29","0.141650","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1257, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"52","0.244130","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-95 dBm","Beacon frame, SN=1265, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"66","0.338557","92:28:02:60:ed:4c","Broadcast","802.11","196","-66 dBm","Probe Request, SN=2653, FN=0, Flags=........C, SSID=""MahjFi""","""MahjFi""","1"
"68","0.339778","1e:9d:72:6d:c4:11","92:28:02:60:ed:4c","802.11","516","-12 dBm","Probe Response, SN=1269, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"70","0.346433","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1270, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"85","0.393197","92:28:02:60:ed:4c","Broadcast","802.11","196","-65 dBm","Probe Request, SN=2654, FN=0, Flags=........C, SSID=""MahjFi""","""MahjFi""","1"
"93","0.448852","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=1276, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"110","0.551457","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1280, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"138","0.653625","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1286, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"158","0.756044","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1290, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"184","0.858440","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1294, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"204","0.960821","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1298, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"226","1.063224","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1302, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"258","1.268030","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1308, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"363","1.677621","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1327, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"384","1.780134","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=1331, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"401","1.882444","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1335, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"415","1.985093","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1339, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"441","2.087188","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1343, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"466","2.189632","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=1347, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"491","2.292093","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1351, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"517","2.394522","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-24 dBm","Beacon frame, SN=1355, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"536","2.496939","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-20 dBm","Beacon frame, SN=1359, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"562","2.599304","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1363, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"580","2.702733","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1367, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"600","2.803985","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1371, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"619","2.906396","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1376, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"643","3.008958","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1380, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"660","3.079346","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-14 dBm","Probe Response, SN=1384, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"661","3.080141","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-14 dBm","Probe Response, SN=1384, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"662","3.080919","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-13 dBm","Probe Response, SN=1384, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"663","3.081700","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-15 dBm","Probe Response, SN=1384, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"669","3.111656","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1385, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"694","3.213621","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=1393, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"721","3.315995","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=1397, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
