"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"1","0.000000","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-12 dBm","Probe Response, SN=2197, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"2","0.000813","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-13 dBm","Probe Response, SN=2197, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"3","0.001593","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-13 dBm","Probe Response, SN=2197, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"4","0.002240","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-12 dBm","Probe Response, SN=2197, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"6","0.025540","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2198, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"32","0.125349","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2202, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"53","0.227369","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2209, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"76","0.329830","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2213, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"102","0.432140","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2217, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"123","0.534540","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2221, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"145","0.636965","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2225, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"168","0.739390","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2229, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"189","0.841784","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2233, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"211","0.944129","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2237, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"232","1.047647","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2244, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"259","1.149117","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2252, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"291","1.251971","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2258, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"312","1.354805","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2264, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"340","1.456907","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2270, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"364","1.558523","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2278, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"390","1.660981","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2284, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"417","1.763353","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2288, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"438","1.866654","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2292, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"477","2.070563","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2300, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"501","2.172963","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2304, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"521","2.275321","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2310, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"548","2.377738","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2314, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"596","2.582538","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2322, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"621","2.685063","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2326, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"650","2.787391","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2333, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"674","2.889755","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=2337, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"702","2.992451","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2341, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"724","3.094508","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2345, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"748","3.197065","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2349, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"765","3.286651","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-14 dBm","Probe Response, SN=2353, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"766","3.287373","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-13 dBm","Probe Response, SN=2353, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"767","3.288148","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-14 dBm","Probe Response, SN=2353, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"768","3.288775","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-14 dBm","Probe Response, SN=2353, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"773","3.299531","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2354, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"799","3.401632","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","0 dBm","Probe Response, SN=2358, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"800","3.402267","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2359, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"803","3.404320","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-14 dBm","Probe Response, SN=2358, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"804","3.404960","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-13 dBm","Probe Response, SN=2358, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"805","3.405887","1e:9d:72:6d:c4:11","VantivaUSA_20:d3:56","802.11","516","-14 dBm","Probe Response, SN=2358, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"822","3.504182","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2363, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"854","3.606585","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2367, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"885","3.708972","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2371, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"908","3.811329","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2375, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"925","3.913776","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2379, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"953","4.016121","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2383, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"982","4.118564","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2391, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1001","4.173178","1e:9d:72:6d:c4:11","VantivaConne_83:47:b0","802.11","516","0 dBm","Probe Response, SN=2395, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1004","4.191909","1e:9d:72:6d:c4:11","VantivaConne_83:47:b0","802.11","516","-14 dBm","Probe Response, SN=2396, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
