"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"7","0.007666","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1874, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"46","0.110223","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1878, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"70","0.212549","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1882, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"100","0.315329","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1886, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"126","0.417730","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-21 dBm","Beacon frame, SN=1890, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"151","0.519719","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1894, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"173","0.622523","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-22 dBm","Beacon frame, SN=1898, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"211","0.827181","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1906, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"238","0.929623","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=1910, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"267","1.032107","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"291","1.134193","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=1918, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"317","1.236633","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=1922, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"346","1.341352","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"378","1.441307","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"401","1.543720","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1936, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"424","1.646181","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=1940, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"448","1.748598","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1946, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"474","1.851266","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-17 dBm","Beacon frame, SN=1950, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"525","2.055710","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1956, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"546","2.158234","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1960, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"565","2.260931","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1966, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"593","2.362914","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-19 dBm","Beacon frame, SN=1974, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"618","2.465884","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1978, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"651","2.627744","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-18 dBm","Probe Response, SN=1982, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"652","2.628382","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-19 dBm","Probe Response, SN=1982, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"653","2.629259","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-19 dBm","Probe Response, SN=1982, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"654","2.630054","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","-18 dBm","Probe Response, SN=1982, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"657","2.651417","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-18 dBm","Probe Response, SN=1983, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"659","2.656854","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-18 dBm","Probe Response, SN=1983, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"660","2.657579","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-18 dBm","Probe Response, SN=1983, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"661","2.658333","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-18 dBm","Probe Response, SN=1983, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"665","2.671996","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-18 dBm","Beacon frame, SN=1984, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"670","2.678534","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-18 dBm","Probe Response, SN=1988, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
