"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"9","0.041147","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2707, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"30","0.142911","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2711, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"46","0.245335","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2715, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"71","0.347874","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2719, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"91","0.450452","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2723, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"110","0.552507","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2727, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"131","0.655296","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2731, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"153","0.757264","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2739, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"187","0.859680","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2746, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"204","0.962099","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2750, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"224","1.052139","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-15 dBm","Probe Response, SN=2754, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"225","1.052941","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-15 dBm","Probe Response, SN=2754, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"226","1.053767","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-15 dBm","Probe Response, SN=2754, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"227","1.054641","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","-14 dBm","Probe Response, SN=2754, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"231","1.064612","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2755, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"237","1.078392","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","0 dBm","Probe Response, SN=2759, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"238","1.079005","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","0 dBm","Probe Response, SN=2759, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"239","1.079910","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","0 dBm","Probe Response, SN=2759, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"240","1.080713","1e:9d:72:6d:c4:11","VantivaUSA_46:84:e8","802.11","516","0 dBm","Probe Response, SN=2759, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"256","1.166895","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2760, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"284","1.269279","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2764, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"312","1.371692","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2768, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"330","1.474171","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2772, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"364","1.576776","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2776, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"379","1.678882","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2780, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"404","1.781633","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2784, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
